person_id,full_name,other_names,assnat_url
17827,agnes grondin,grondin,/fr/deputes/grondin-agnes-17827/index.html
57,agnes maltais,maltais,/fr/deputes/maltais-agnes-57/index.html
651,alain paquet,paquet,/fr/deputes/paquet-alain-651/index.html
12189,alain therrien,therrien,/fr/deputes/therrien-alain-12189/index.html
5863,albert demartin,demartin,/fr/deputes/de-martin-albert-5863/index.html
19263,alejandra zaga mendez,zaga mendez; mendez ; mme mendez ; mme zaga mendez,/fr/deputes/zaga-mendez-alejandra-19263/index.html
5803,alexandre bourdeau,bourdeau,/fr/deputes/bourdeau-alexandre-5803/index.html
1077,alexandre cloutier,cloutier,/fr/deputes/cloutier-alexandre-1077/index.html
12227,alexandre iraca,iraca,/fr/deputes/iraca-alexandre-12227/index.html
17935,alexandre leduc,leduc,/fr/deputes/leduc-alexandre-17935/index.html
5915,alexis wawanoloath,wawanoloath,/fr/deputes/wawanoloath-alexis-5915/index.html
19315,alice aboukhalil,aboukhalil ; mme aboukhalil,/fr/deputes/abou-khalil-alice-19315/index.html
19273,amelie dionne,dionne ; mme dionne,/fr/deputes/dionne-amelie-19273/index.html
25,amir khadir,khadir,/fr/deputes/khadir-amir-25/index.html
19253,andre albert morin,morin ; m.morin ; m. morin,/fr/deputes/morin-andre-albert-19253/index.html
17859,andre bachand,bachand ; m. bachand ; m.bachand,/fr/deputes/bachand-andre-17859/index.html
2157,andre boisclair,boisclair,/fr/deputes/boisclair-andre-2157/index.html
2223,andre boulerice,boulerice,/fr/deputes/boulerice-andre-2223/index.html
2233,andre bourbeau,bourbeau,/fr/deputes/bourbeau-andre-2233/index.html
2541,andre chenail,chenail,/fr/deputes/chenail-andre-2541/index.html
299,andre drolet,drolet,/fr/deputes/drolet-andre-299/index.html
15383,andre fortin,NA,/fr/deputes/fortin-andre-15383/index.html
5817,andre gabias,gabias,/fr/deputes/gabias-andre-5817/index.html
3363,andre gaulin,gaulin,/fr/deputes/gaulin-andre-3363/index.html
15401,andre lamontagne,lamontagne,/fr/deputes/lamontagne-andre-15401/index.html
900001,andre pelletier,pelletier,
5901,andre riedl,riedl,/fr/deputes/riedl-andre-5901/index.html
9939,andre simard,NA,/fr/deputes/simard-andre-9939/index.html
12211,andre spenard,spenard,/fr/deputes/spenard-andre-12211/index.html
5589,andre tranchemontagne,tranchemontagne,/fr/deputes/tranchemontagne-andre-5589/index.html
97,andre villeneuve,villeneuve,/fr/deputes/villeneuve-andre-97/index.html
17913,andree laforest,laforest,/fr/deputes/laforest-andree-17913/index.html
17953,andres fontecilla,fontecilla,/fr/deputes/fontecilla-andres-17953/index.html
5785,anna mancuso,mancuso,/fr/deputes/mancuso-anna-5785/index.html
19325,audrey bogemans,bogemans ; mme bogemans,/fr/deputes/bogemans-audrey-19325/index.html
195,benoit charette,charette,/fr/deputes/charette-benoit-195/index.html
3987,benoit laprise,laprise,/fr/deputes/laprise-benoit-3987/index.html
4801,benoit pelletier,NA,/fr/deputes/pelletier-benoit-4801/index.html
2291,bernard brodeur,brodeur,/fr/deputes/brodeur-bernard-2291/index.html
209,bernard drainville,drainville,/fr/deputes/drainville-bernard-209/index.html
3937,bernard landry,NA,/fr/deputes/landry-bernard-3937/index.html
1199,bertrand starnaud,starnaud,/fr/deputes/st-arnaud-bertrand-1199/index.html
19271,brigitteb garceau,garceau ; mme garceau,/fr/deputes/garceau-brigitte-b-19271/index.html
93,camil bouchard,NA,/fr/deputes/bouchard-camil-93/index.html
4031,camille laurin,laurin,/fr/deputes/laurin-camille-4031/index.html
900002,carlos leitao,leitao,
19351,carole mallette,malette ; mme malette,/fr/deputes/mallette-carole-19351/index.html
9,carole poirier,poirier,/fr/deputes/poirier-carole-9/index.html
5835,carole theberge,theberge,/fr/deputes/theberge-carole-5835/index.html
17837,caroline proulx,NA,/fr/deputes/proulx-caroline-17837/index.html
15367,caroline simard,NA,/fr/deputes/simard-caroline-15367/index.html
19251,catherine blouin,blouin ; mme blouin,/fr/deputes/blouin-catherine-19251/index.html
17895,catherine dorion,dorion ; mme dorion,/fr/deputes/dorion-catherine-17895/index.html
16775,catherine fournier,NA,/fr/deputes/fournier-catherine-16775/index.html
20131,catherine gentilcore,genttilcore ; mme gentilcore,/fr/deputes/gentilcore-catherine-20131/index.html
5895,catherine morissette,morissette,/fr/deputes/morissette-catherine-5895/index.html
5695,cecile vermette,vermette,/fr/deputes/vermette-cecile-5695/index.html
19309,celine haytayan,"haytayan, mme haytayan",/fr/deputes/haytayan-celine-19309/index.html
5363,celine signori,signori,/fr/deputes/signori-celine-5363/index.html
17931,chantal rouleau,rouleau ; mme rouleau,/fr/deputes/rouleau-chantal-17931/index.html
